episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
107,29,-0.065,1.214,284.418,0.000,0.000,1,goal
108,3,51.015,19.910,282.906,0.000,0.000,1,goal
109,2,50.212,12.414,84.830,0.000,0.345,1,goal
110,5,-47.654,32.847,489.776,0.000,0.091,1,goal
111,1,50.193,7.286,40.032,0.000,0.000,1,goal
112,3,-199.094,9.733,221.172,0.224,0.328,0,collision
113,1,49.979,6.887,32.877,0.000,0.000,1,goal
114,5,-47.222,32.944,491.546,0.000,0.032,1,goal
115,1,-200.025,6.485,30.771,0.000,0.000,0,collision
116,2,-199.682,12.229,73.372,0.000,0.578,0,collision
117,2,-199.362,13.805,176.570,0.000,0.166,0,collision
118,3,50.812,19.466,253.391,0.000,0.181,1,goal
119,1,0.000,0.000,0.000,0.000,0.000,0,not_found
120,1,50.272,7.220,39.631,0.000,0.000,1,goal
121,2,-199.893,11.886,100.456,0.000,0.157,0,collision
122,2,50.345,12.884,123.456,0.000,0.104,1,goal
123,1,0.000,0.000,0.000,0.000,0.000,0,not_found
124,1,-200.362,6.542,26.593,0.000,0.497,0,collision
125,3,51.006,19.373,294.319,0.000,0.000,1,goal
126,2,-199.327,13.803,161.911,0.000,0.439,0,collision
127,2,-199.378,13.212,115.134,0.000,0.511,0,collision
128,9,-51.401,13.894,729.412,0.000,0.000,1,goal
129,3,51.341,20.814,395.351,0.000,0.038,1,goal
130,1,50.263,8.502,53.420,0.000,0.000,1,goal
131,8,-46.354,20.528,807.594,0.041,0.000,1,goal
132,3,-198.754,19.854,351.805,0.000,0.251,0,collision
133,2,-199.365,13.235,140.548,0.000,0.297,0,collision
134,2,-199.446,13.693,146.480,0.000,0.000,0,collision
135,3,-198.709,20.161,411.454,0.000,0.413,0,collision
136,5,-197.292,32.560,579.843,0.000,0.000,0,collision
137,1,50.300,7.724,48.089,0.000,0.000,1,goal
138,3,-199.017,20.443,316.266,0.000,0.014,0,collision
139,3,-198.535,21.048,423.451,0.000,0.005,0,collision
140,2,50.610,13.150,139.449,0.000,0.000,1,goal
141,1,49.915,6.255,25.310,0.000,0.000,1,goal
142,2,-199.189,14.869,208.793,0.000,0.005,0,collision
143,4,51.386,26.082,423.494,0.000,0.168,1,goal
144,5,-197.303,32.367,544.858,0.000,0.152,0,collision
145,1,50.309,8.176,45.423,0.000,0.000,1,goal
146,2,50.547,13.779,147.609,0.000,0.020,1,goal
147,1,-200.152,7.372,40.552,0.000,0.649,0,collision
148,1,-199.563,7.558,46.956,0.000,0.269,0,collision
149,4,-198.276,26.291,416.941,0.000,0.020,0,collision
150,3,-199.085,19.144,268.143,0.000,0.078,0,collision
151,1,49.886,3.941,7.506,0.000,0.000,1,goal
152,1,-200.000,0.000,0.000,0.000,0.848,0,collision
153,3,51.103,20.967,404.147,0.000,0.329,1,goal
154,3,-198.571,21.048,423.451,0.000,0.174,0,collision
155,3,-199.039,10.200,233.119,0.099,0.301,0,collision
156,3,50.862,20.422,364.807,0.000,0.047,1,goal
157,3,-199.107,19.087,246.520,0.000,0.427,0,collision
158,2,-199.224,14.303,168.908,0.000,0.453,0,collision
159,1,50.106,7.556,41.662,0.000,0.000,1,goal
160,3,-199.156,19.711,301.222,0.000,0.470,0,collision
161,2,-199.411,13.570,144.890,0.000,0.136,0,collision
162,2,-199.220,13.961,164.119,0.000,0.171,0,collision
163,2,50.396,12.998,124.819,0.000,0.004,1,goal
164,3,51.227,20.282,414.507,0.000,0.000,1,goal
165,6,49.488,13.267,570.316,0.000,0.027,1,goal
166,2,50.800,15.200,214.131,0.000,0.000,1,goal
167,1,0.000,0.000,0.000,0.000,0.000,0,not_found
168,1,49.873,8.615,54.192,0.000,0.000,1,goal
169,2,-199.694,13.332,116.471,0.000,0.109,0,collision
170,2,-199.505,12.298,83.748,0.000,0.000,0,collision
171,2,50.701,13.829,162.280,0.000,0.000,1,goal
172,2,50.528,12.852,123.073,0.000,0.073,1,goal
173,1,-199.699,7.436,40.935,0.000,0.603,0,collision
174,2,-200.048,4.722,66.702,0.462,0.484,0,collision
175,1,50.017,6.480,26.318,0.000,0.000,1,goal
176,3,-199.098,18.937,243.804,0.000,0.237,0,collision
177,2,-199.398,13.704,160.542,0.000,0.032,0,collision
178,2,50.294,4.624,65.186,0.488,0.396,1,goal
179,12,-57.291,12.799,807.035,0.000,0.000,1,goal
180,2,50.369,4.454,62.571,0.032,0.468,1,goal
181,1,50.288,7.798,48.591,0.000,0.000,1,goal
